月份,星期,明日工地,明日車次,明日遠距離,明日超遠,今日在職,今日臨時,明日天氣,OUTPUT
2,4,12,37,11,2,6,4,0,11
2,5,10,42,10,4,6,5,0,10
2,6,5,12,3,0,5,5,0,5
3,7,8,22,6,0,5,0,1,7
3,1,9,19,8,0,7,0,0,8
3,2,10,20,6,1,6,2,1,7
3,3,10,29,6,1,6,1,1,10
3,4,10,22,10,0,6,4,0,8
3,5,11,34,9,1,6,2,0,10
3,6,6,17,8,0,4,6,0,7
3,7,15,26,8,4,6,1,0,9
3,1,8,19,3,1,7,2,1,8
3,2,11,43,4,0,7,1,0,10
3,3,11,31,4,0,4,6,0,8
3,4,11,58,5,0,7,1,1,14
3,5,11,44,4,0,7,7,1,11
3,6,8,44,9,0,5,6,0,11
3,7,14,62,4,0,4,7,0,13
3,1,13,60,5,0,4,9,0,16
3,2,12,42,6,0,6,10,0,13
3,3,12,41,8,3,6,7,1,13
3,4,11,40,5,0,6,7,1,10
3,5,11,35,6,0,7,3,0,8
3,6,8,24,2,0,5,3,0,7
3,7,11,38,7,0,4,3,1,7
3,1,11,33,5,0,5,2,0,9
3,2,13,38,1,0,6,3,0,10
3,3,14,38,7,5,7,3,0,11
3,4,11,27,6,0,6,5,1,9
3,5,7,13,1,0,5,4,1,7
3,6,6,14,1,0,6,1,0,4
3,7,10,22,2,0,4,0,0,6
3,1,9,24,1,0,6,0,1,7
3,2,17,41,18,5,6,1,0,16
4,3,11,26,1,0,7,9,1,7
4,4,9,20,4,3,6,1,1,10
4,5,6,12,1,0,6,4,0,5
4,7,10,29,5,0,5,0,1,7
4,1,11,27,4,0,5,2,1,9
4,2,13,28,8,0,6,3,1,9
4,3,11,23,10,3,6,3,0,10
4,4,14,35,17,10,6,4,0,13
4,5,15,35,7,4,5,8,1,11
4,6,6,12,2,0,3,8,1,6
4,7,8,34,7,7,5,1,0,13
4,1,9,28,4,3,7,6,0,10
4,2,12,29,13,11,6,4,0,12
4,3,11,20,7,1,6,6,0,7
4,4,11,30,15,9,7,0,0,14
4,5,7,30,7,7,6,8,0,11
4,6,11,32,2,0,3,8,0,9
4,7,15,40,20,12,5,4,1,15
4,1,15,39,18,17,5,10,1,14
4,2,13,29,14,9,6,8,1,12
4,3,7,20,6,4,6,6,1,9
4,4,9,20,14,9,6,3,1,6
4,5,12,29,14,9,6,0,0,8
4,6,6,14,4,0,3,5,0,7
4,7,12,26,8,2,4,3,1,9
4,1,14,27,6,1,6,3,0,9
4,2,16,39,6,2,7,2,0,10
4,3,14,25,8,7,7,3,0,10
4,4,11,31,19,10,6,4,0,14
5,6,8,21,13,1,5,9,0,10
5,7,11,28,8,3,6,4,0,8
5,1,11,38,9,5,7,1,0,10
